id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,garis_kemiskinan,satuan,tahun
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,293985,RUPIAH/KAPITA/BULAN,2011
216,32,JAWA BARAT,3279,KOTA BANJAR,219541,RUPIAH/KAPITA/BULAN,2011
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,252542,RUPIAH/KAPITA/BULAN,2012
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,227741,RUPIAH/KAPITA/BULAN,2012
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,250032,RUPIAH/KAPITA/BULAN,2012
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,241947,RUPIAH/KAPITA/BULAN,2012
221,32,JAWA BARAT,3205,KABUPATEN GARUT,213707,RUPIAH/KAPITA/BULAN,2012
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,222594,RUPIAH/KAPITA/BULAN,2012
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,251624,RUPIAH/KAPITA/BULAN,2012
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,245476,RUPIAH/KAPITA/BULAN,2012
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,281027,RUPIAH/KAPITA/BULAN,2012
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,326962,RUPIAH/KAPITA/BULAN,2012
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,249315,RUPIAH/KAPITA/BULAN,2012
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,325787,RUPIAH/KAPITA/BULAN,2012
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,257543,RUPIAH/KAPITA/BULAN,2012
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,251132,RUPIAH/KAPITA/BULAN,2012
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,310751,RUPIAH/KAPITA/BULAN,2012
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,328244,RUPIAH/KAPITA/BULAN,2012
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,241892,RUPIAH/KAPITA/BULAN,2012
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH/KAPITA/BULAN,2012
235,32,JAWA BARAT,3271,KOTA BOGOR,331955,RUPIAH/KAPITA/BULAN,2012
236,32,JAWA BARAT,3272,KOTA SUKABUMI,370633,RUPIAH/KAPITA/BULAN,2012
237,32,JAWA BARAT,3273,KOTA BANDUNG,314721,RUPIAH/KAPITA/BULAN,2012
238,32,JAWA BARAT,3274,KOTA CIREBON,307812,RUPIAH/KAPITA/BULAN,2012
239,32,JAWA BARAT,3275,KOTA BEKASI,403033,RUPIAH/KAPITA/BULAN,2012
240,32,JAWA BARAT,3276,KOTA DEPOK,397687,RUPIAH/KAPITA/BULAN,2012
